Número Identificador,Nome,Orientações em Andamento,Orientações concluidas
0015527839272634,Augusto César Melo de Oliveira,0,0
,Rafael Brasil Ferro Costa,0,0
0015565896941834,Cynthia Penoni Volpi Abreu,0,0
0015569775943711,Francisval Dias Mendes,0,0
0015575280210248,Fábio Cavalcante de Assis,0,0
0015600553584891,Consuelo Froehner,0,8
0015607870516284,Tito Arturo Valencia Monardez,0,31
0015608935282465,Marina Monteiro Celestino,1,0
0015618772602012,Julia Carolina Castro Maldonado,0,0
0015664895491576,Marcelino de Carvalho Santana,0,2
0015669874542287,João Fernando Cá,0,0
0015697933598012,Luiz Guilherme Ravacci Pires,0,3
0015705314686743,Paula Veronesi Marinho Pontes,0,0
0015734620706487,Iassudara Garcia de Almeida,0,0
0015743089219902,Ana Paula Mota Portela,0,0
0015758493703787,Sabrina de Oliveira Anício,0,0
0015786157890917,Vanessa Campelo Souza,0,0
0015801673426874,Flávia Porto da Costa,0,0
0015806818189874,Liciane Timoteo de Mamede,0,0
0015808068342801,Júlio César Cotrim Moreira Filho,0,0
0015816481800280,Igor Fontes Cadena,1,1
,Juliano Nunes Costa,0,0
0015866006990637,Camila Matos de Oliveira,0,0
0015876086759970,Alexandre Tortorella Mandl,0,0
0015879869695830,Fernanda Saad Rodrigues,0,0
0015882995471438,Francisco Miqueias Sousa Nunes,0,3
0015905220375957,Antônio Eugenio Chemim,0,0
0015906653285455,Olivio Luchi,0,0
0015927168023271,Wellington Souza Amaral,0,0
0015935907128248,Aline Campos Figueiredo,0,45
0015953458508982,Kisner Anderson Maia,0,0
0015958989657727,Fernanda Jung Drebes,0,0
0015964934683307,Nadia Cristine Freire Alves de Almeida,0,21
0015966663431655,Giuseppe Fernandes de Oliveira Barboza,0,0
0015990270921490,Kessy Rizental da Silva,0,0
0016029620906968,Renata Leite Cândido de Aguiar Moreira,0,0
0016033807223182,Daniel Tochetto de Oliveira,0,9
0016038388925227,Débora Familiar Rodrigues Macedo,0,0
0016048220647606,José Carlos de Castro Junior,0,0
0016052875958413,Joana D Arc Moraes dos Santos,0,0
0016058584340709,Joyce Noelly Vitor Santos,2,0
0016060421846527,Luciane Mialich Scadelai,0,94
0016083891783673,Bárbara Elizabeth Rocha,0,0
0016088027559146,José do Prado Martins,0,0
0016090437112705,Leyli Abdala Pires Boemer,0,0
0016093551799708,Alexandre Severino Pereira,0,0
0016118054599294,Alejandra Carolina Cáceres Rigo,0,0
0016125759572262,Gustavo Aiex Lopes,0,0
0016131020577584,Thiago Adriano dos Santos,0,0
0016173747275770,Rosana Patzlaff de Souza Neumann,0,0
0016191140456060,Gilda Pereira da Silva,0,0
0016208391442640,Felipe Santos Machado,0,1
0016210926560842,Milena de Castro Silveira,0,0
0016228395554521,Barbara Luciane Perdigão Stumpf,0,0
0016238916090957,Luciara Leite de Mendonça,0,1
0016255940474232,Patrícia Maralyne Lopes Lisbôa Fagundes,0,0
,Nilda de Moraes Silva,0,0
0016300915528943,Vânia Cristina Fernandes Medeiros,0,0
0016329071166363,Matheus Kayssan Opa Pinheiro,0,0
0016332451849541,Aníbal Pereira de Souza,0,0
0016333196576587,Lucas Patrício de Souza,0,0
0016343257512119,Fernando Henrique Villwock,0,0
0016366445200735,Pollyana Correia Lima,0,0
0016400555012755,Fabrízzio Cabral de Lacerda,0,0
0016412502428250,Pedro Henrique Coelho da Silva,0,0
,Ana Rosa Zurlo Dellazzana,0,43
0016422869289210,Rodrigo Antoniassi Cardim,0,15
,Adriano Emanuel Amaral de Almeida,0,1
0016443976620024,César da Silva Camargo,0,6
0016447559237418,Lidenilson Sousa da Silva,0,0
0016451753105367,José Augusto Farias Santos,0,0
,Karina Karla Cavalcante de Oliveira,0,0
0016458512922999,Angela Maria Rosas Cardoso,4,21
0016467000696298,Débora Gomes Ruiz,0,0
0016468178905915,Jean Carlo Benetti Bueno,0,0
0016473678012025,Ivson Souza Catunda,0,0
0016496281332021,Mayara Lopes Vianna,0,0
0016497816280664,Thaís Fernanda Bette,0,0
0016514232696166,José Airton da Silva,0,0
0016530644697836,Dayana Cardoso Cruz,0,0
0016549228076073,Franciano Sabadim Assis,0,0
0016615543873229,Joachim Carreira,0,0
0016683459669458,Nura Modi Shagari,0,0
0016686159559319,Ana Beatriz Bernardes Oliveira,1,0
0016687535149292,Guilherme Beltramin de Faria Rodrigues,0,0
0016702431423755,Adriana da Rosa Cherem,1,140
0016725540732082,Nelson Kodama Lançoni Raymundo,0,0
0016788005028908,Alfredo Carlos Cardoso Saad,0,65
0016799915658994,Rubens de Aquino Dionisio,0,3
0016843493521727,Emerson Flores Gracia,0,0
0016878177988114,Pedro Saint Clair Garcia,0,1
0016911941864693,Alane Azevedo Brito,0,0
,Elisangela Aparecida Truzzi,0,0
0016930681549882,Ronaildo Fabino Neto,0,0
0016980486171993,Adeline de Mira Fernandes,0,0
0016981900981754,Rafaella Elíria Abbott Ericksson,0,1
0016992072085799,Fábio de Araújo Pinto Sobrinho,0,0
0017012399511241,Julia Baranzelli,0,2
0017041644922709,Renata Graniti,0,1
0017042915445620,Manoel Victor Meira Lima Vidal,0,0
0017068912090991,Bárbara Dias Ferreira,0,0
0017077221476969,Rodrigo Parente Medeiros,5,1
0017079674894697,Milton Luiz Merony Ceia,0,0
0017098166381781,Florin-Alexandru Enia,0,0
0017100485472115,Marianna de Souza Oliveira Ottoni,0,0
0017115059729458,Carlos Augusto Badillo Almeira,0,0
0017120384451554,Lúcia Helena Moraes Vilela,0,0
0017126323905614,Paula Novais da Silva Schmidt Campos,0,0
0017147129682028,Waldir Antonio Alves,0,0
0017151664499119,Deise Rodrigues Da Cruz,0,0
,Fernanda Pessanha Vasques,0,0
0017164582958750,Daiana Biduski,0,0
0017187222991337,Marinalva Dias de Lima,0,0
0017188152071755,Theresa Cristina de Albuquerque Siqueira,1,15
0017195536956386,Aloisio Masson,0,0
0017208558479044,Marcelo Monte Karam,0,0
0017219857912637,Ana Carolina Guidi,0,0
0017226799137417,Luiz Felipe Borges Martins,0,96
0017254712870479,Francisco de Assis de Souza Rodrigues,0,6
0017260439120131,Celio Henrique Nogueira Larcher Junior,0,0
0017270245898728,José Roberto Araújo,0,0
0017275426595410,Marisa Beltrão Malta,0,5
0017282520843170,Silvana Maria Aquino da Silva,0,0
0017291664258177,Lucas Ferrarezi Grubba,0,0
0017292546217718,Débora Soares Alexandre Melo Silva,1,6
0017326226888537,Kellen Cristyan Teixeira de Oliveira,0,0
0017330183932417,Juliana Dal Ongaro,1,0
0017364473404261,Ciro Kirchenchtejn,0,0
0017384890475705,Adriana Lima de Carvalho Soares,0,0
0017401529431755,Roberta Caroline Alvarenga Tolomelli,0,0
0017404425178083,Anadélia Liaschi Ducci,0,0
0017447665602260,Jamile Gomes Conceição,0,0
0017472598073917,Claudemir Gomes da Cruz,0,21
,Viviane de Salles Cardin,0,0
,Otamira Gomes de Melo e Souza,0,0
0017495712345738,Juliana Fernanda da Silva,0,1
0017511568470575,Maria Solange Gomes Pellegrino,0,0
0017527754987017,Nathalia Geraldo Belintani,0,0
0017528435834071,Carlos Pereira lima,0,18
0017537049177221,Juliana Hey Coradin,0,2
0017539222995806,Alexandre Fernandes Braga,0,0
0017555573037767,Cecília Ribeiro da Silva,0,0
0017558320083697,Roberto Pasquale da Cruz Trotta,0,0
0017595822016716,Edcelha Soares D Athaide Ribeiro,0,1
0017610432970361,Maria Aparecida Diorio,0,8
0017616939747109,Mauricio Rangel Guimarães Serra,0,0
0017631144319842,Lucas Lopes Rino Dias,0,0
0017645729681934,Fernanda Luiza Teixeira Lima,2,1
0017660621458859,Juliane de Oliveira Silva,1,37
0017690811421882,Andréia Guerra Pimentel,2,9
0017708128051637,Halessa Fabiane Regis,0,0
0017748376587700,Thaionara Carvalho Matos,0,1
0017759657889086,Luciana Araújo dos Santos,0,0
0017795465816777,Helivelton Oliveira Ferreira,5,3
0017811582889651,José Rafael Borges Zampiva,0,0
0017823492010414,Aniele Elis Scheuermann,8,13
0017828206593504,Eroni Helena Pommerening,0,3
0017846351740895,Edson Lachini,0,0
0017866361251952,Conrado Augusto Ferreira de Oliveira,0,0
0017871300492822,Jorge Wilson Delgado Leão,0,0
0017873429725898,Odivaldo Costa Ferreira,0,1
0017897257052964,Debora Coelho de Souza,0,0
0017904995921794,Mara Rúbia Carrilho Santos,0,10
0017963181512215,Carmen Tereza da Silva Xavier,1,8
0017982037407567,Itamar Lima Medeiros,0,1
,Juliano Magayevski,0,0
,Itamar de Souza,0,0
,Mônica Gomes d'Almeida,0,0
0018069316459253,Tatiana Sudbrack da Gama e Silva,0,0
0018110123270798,Antônio Carlos da Rocha,0,0
0018199525420178,Jaqueline Catapan,0,0
0018245204484198,Daniel Sica de Faria,0,0
0018247290923315,Bruno Allan Teixeira da Silva,1,10
0018253561387847,Camila da Silva Berdague,0,2
0018263222102443,Ingrid Adame Moreira,1,1
0018276834987308,Fabricio Boechat,1,0
,Carlos Alfredo Panosso,0,0
0018298236716812,Natália do Carmo Rocha,0,0
0018304502643901,Carla Poliana Santos Ávila,0,0
0018306974384320,Ranyere do Nascimento Lobo,0,0
0018309137561255,Gardênia Santiago,0,0
0018310284494570,Marcos Rodrigo Domenici,0,20
0018318747583540,Aline Maria Bonete,0,0
0018327147503737,Jessica Oliveira de Souza Ferreira Melo,0,0
0018340599863310,Michele Albino de Oliveira Treml,0,0
0018353897388263,Alexandre Lopes Fiorani,0,0
0018360723855868,Carla Mandracio Pereira,0,0
0018366150596190,Charles Alberto Brito Negrão,0,0
0018370878900832,Cristiane Queiroz Duarte,0,0
,Andressa Karina Piacenti Amaral,0,2
0018400305188554,Raphael Barbosa Machado,0,0
0018430377751479,Solange Souza Lima,0,0
0018430860365350,Carina Mersoni Dalla Corte,2,8
0018432019516279,Clarissa Azevedo Baesso,0,0
0018451599638522,Bárbara Helohá Falcão Teixeira,0,0
0018454814045839,Itamar Costa Melo,0,1
0018464404745698,Edson Pereira da Silva,0,2
0018477855561267,Joyce Lisboa Freitas,0,1
0018480906444662,Carla Stefânia Cabral de Medeiros Santana,1,0
,Isabel Cristina Baggio,0,5
0018505495611254,Ivan Medina,0,0
0018509136718050,Talita Corrêa Gomes Cardim,0,0
0018518317389071,Alfredo Dantas Neto,0,0
,Simone Vaisman Muniz,0,0
,Omar Serva Maciel,0,0
0018604135135973,Antonio Francisco Braga dos Santos,0,0
0018605600573115,Lizandra Kelly de Araújo Santana,0,13
0018625925904999,Márcio Thomaz dos Santos Varjão,0,0
0018643149767381,Caio Henrique Quinderé Castello Branco,0,0
0018644944509558,Walessa Brasil da Silva,0,0
0018653940226468,Thiago Torres Medeiros da Silva,0,0
0018656482711959,Ana Maria da Silveira Rodrigues,0,18
0018685558241908,Denise Abreu Cavalcanti,0,0
0018695255938308,Magda Luciana de Paula Rosa,0,0
0018729533891310,Flávia Gonçalves Vasconcelos,0,27
0018737817478195,Maria Teresa Figueiredo,0,0
0018741712227963,Paulo Roberto Gonçalves de Freitas Junior,0,3
0018762940936038,Ricardo Meyer,0,0
0018765794049183,Lindsay Pamela Untura,0,2
0018777083067068,Reynaldo Lemos de Souza Filho,0,0
0018782335993927,Luciana Dall'Agnese,0,0
,Joâo Batista Figueira Neto,0,3
0018785306764076,Eduardo Muniz Machado Cavalcanti,0,0
0018788645053948,Vellêda Bivar Soares Dias Neta,0,0
0018828904318965,Daniel Caracanhas Cavallari,0,0
0018829882835031,Ana Maria Barbosa Abeijon,0,0
0018839542551799,Mauro Roberto Piovezan,0,0
0018903239933592,Pedro Lino Hanauer de Moura,0,8
0018907086641310,Ivete Maria Zen,0,0
,Leandro Luiz Tomio Maldonado,0,0
0018920003059630,Alisson da Silva Pinto,0,0
0018928274834963,Yara Campos Miranda,0,24
0018931057345235,Leonardo Carvalho Ladeira,0,0
0018937499568928,Gisele Pereira da Silva,1,2
0018940991346581,Mônica Bazzan Dessuy,0,0
0018959872817164,Thiago Henrique Lopes de Castro,0,0
0018966714079192,José Edson Ferreira da Silva,0,1
0018979440163554,Fernanda Nascimento Hermes,2,2
0018988983741051,Marianna de Alencar e Souza,0,0
0018994340230076,Karina Borges Diaz Nery de Souza,2,4
0019055756035361,José Otávio Santos de Almeida Braga,0,6
,Esteban Lucio Gonzalez,0,0
0019087076328946,Débora Lima Batista,0,0
0019107862651284,João Rodrigo Campos,0,0
0019120466952120,Roberto Frota Leitão dos Santos,0,0
0019131882644315,Julio Cesar Ponciano,0,0
0019132230728268,Kelly Adriana Ribeiro Tagliaferro Vilella,0,0
0019135827865087,Cristiane Aparecida de Pereira Lima,0,0
0019153438220835,Laiane Fraga da Silva,0,0
0019154060475297,Lucia Maria de Sousa Barros,0,0
0019157225746607,Lucimara de Jesus Amorim,0,2
0019172990692669,Luis Oliveira Freitas,0,21
0019193333937650,Tiago Sales dos Reis Santos,0,0
0019208211826152,Paula Freitas de Almeida,0,2
0019211611904474,Cristiane Gomes Lopes,0,0
0019225863816225,Nicole Manzoni Garcia,0,0
0019230237950375,Rodrigo Bittencourt Cabral,0,0
0019234695312454,Lucas Farias Pinheiro,0,0
0019238476847258,Daniela Vieira Cardozo França,0,0
0019240356848880,Ana Cláudia Ortega,0,0
0019254087014841,Joao Nogueira de Freitas,0,5
0019255479218793,Eunice Sampaio Meireles Teixeira,0,0
0019294625125073,Rafael Ferreira de Souza Honorato,0,0
0019297088226875,Rosane Aparecida Boechat,0,13
0019309565688004,Thais Sousa Menezes Teixeira,0,8
0019340050685603,Vanuza Moreira Braga,0,2
0019354508631210,Leticia da Costa Paes,2,8
0019364245200808,Suely Claudia Lobato Maciel,0,0
0019369097205346,Patrícia Ribeiro Mombach,0,54
0019375658402437,Eliane Oliveira Lucena,0,0
0019389860729350,Patricia Brigatto,0,2
0019397660097067,Ana Kelly da Costa Silva,0,0
0019417972512703,Nívia Rodrigues Pereira,0,0
,Clesito Cezar Arcoverde Fechine,0,5
0019446855022794,André Ricardo Gan,0,10
0019472008871827,Eric Rafael Andrade Silva,0,0
0019488539405523,Caio Lima Braga da Silva,0,0
0019494753642545,Greice Graff,0,0
0019503953277126,Rosane de Souza Quevedo,0,0
0019521411286220,Alexandre de Jesus Oliveira,0,0
0019532673317874,Mônica Marin de Souza,0,0
0019533613115703,Jaiandra da Silva Guimarães,0,11
0019541886228013,Ana Paula de Oliveira Pires,0,2
0019617880306177,Felipe Rabelo Rodrigues Alves,2,13
0019623309083093,George Brandão de Lima,0,0
0019637750223120,Glauco Corrêa da Silva,0,0
0019638300041898,Deborah Leroy Freitas,0,0
0019673523985468,Deborah Sandes de Almeida,0,0
,Solide Maria Paiola,0,2
0019677640851781,Ariane Araújo Ássimos,0,0
0019720006898880,Geórgia Cristiane Rodrigues,0,0
,Raquel Alvarez Sulzbach,0,0
,Gracieli Dalla Nora,0,0
0019753699954991,Luiz Fernando Flores Filho,7,39
0019761250895591,Liz Helena Moraes Pinheiro,0,0
0019807218638555,Marcelo Alves Mourão,0,0
0019816837780699,Rodrigo Henrique Pires,0,0
0019830301257937,Paulo Henrique Otoni Ribeiro,8,1
0019842461463493,Luciane Maria Artêncio,0,0
0019847024959758,Raquel Cristina de Sousa Azevedo,0,0
0019858832948711,Carlos Alberto Krauz,0,5
0019860681651384,Pétala Rocha Guimarães Lima,0,0
0019870833060346,Gabriela Grings Fleck,0,4
0019923273855123,Karina Ribeiro Rios,10,21
0019933098099954,Deise Renata Gonzalez Agnani,0,0
0019955798805246,Vandreza Souza dos Santos,1,21
,Igor da Silva Miranda,0,0
0019994082804299,Simone Mendes da Silva Linsenmayer,0,0
0020017741698780,Marcos José Pestana Marinho,0,0
0020018953154453,Filipe Maciel de Moura,0,0
0020032305489581,Daniel Louzada Fernandes,1,0
0020035841160075,Luis Antonio Lopes da Silva,0,0
0020036942482523,Aloysio Couto Pimentel,0,0
0020046097883984,Douglas Corrêa de Paulo Santos,0,0
0020049669245746,Maicon Roberto Ribeiro Machado,0,0
0020072435836961,Leandro Santos de Lima,0,0
0020072984250072,Jaqueline Barduzzi,0,0
,Cláudio Pedrosa Teles,0,0
0020118290857038,Daniele Santos Cavanellas Gomes,0,0
0020124287355456,Vinicius Carvalhaes,2,13
0020133152456723,Roberta Serra da Rocha,0,0
0020134178901938,Renata Costa Coutinho,0,0
0020140258291769,Nilton Galli Bassi,0,0
0020141301819176,Taize Borges Sousa,0,8
0020157563622386,Maria Luiza Queiroz de Miranda,1,1
0020166346433866,Lana Beatriz Medeiros de Mesquita,0,0
0020171698824682,Thiago Pereira da Silva,0,0
0020176411098715,Alexsandro de Souza Teixeira da Silva,0,0
0020201142741248,Antonio Elias Abrão,0,0
0020229077799547,Guilherme Andrade Silveira,0,0
0020236586271280,Farlan Soares da Silva,0,0
,Suzana Mierzva Ribeiro,0,0
0020252757803951,Milena Garcia da Silva,0,1
0020256128275767,Lílian Gavioli de Jesus,0,0
0020278161145593,Adiniz Mendes da Silva Júnior,0,0
0020289583546745,Eislher Alves Ferreira Neves,0,0
0020299238550690,Taynara Ribeiro Farias Leão,0,2
0020323711391040,Carla Donadio Maccaferri Escalona,0,9
0020348090096102,Simone de Oliveira Paixão,0,0
0020355625916774,Milena de Almeida Nunes,0,0
0020371783105997,Fernanda Aparecida Lopes,0,0
0020375043325408,Ronaldo Pereira Santos,0,1
,Anderson Batista de Melo,0,0
,Karla Kruschewsky Falcão,0,1
0020418953784023,Luiz Gustavo Pires Coelho,0,0
0020433345713665,Maria Ignez Marchioro Zaions,0,13
0020464147296612,Camila de Souza Marques Silva,0,2
0020474131521590,Luziray Barbosa Graça,0,0
0020483195301574,Gabriela Korovisk Santos,0,0
0020494818346384,Luís Renato dos Santos Mascarenhas,0,0
0020512842612272,Joaquim Ozorio Manoel de Souza Pinto,0,2
0020529866654515,Carlos Pecorari Neto,0,0
0020556378416935,João Paulo Zarelli Rocha,0,0
0020573520944542,Robson Aurélio Adelino Braga,0,0
0020575581160633,Roberta Rúbia Pinto Nogueira Lima,1,0
0020582605092207,Aline Vieira de Souza Barbieri,0,0
0020603487082695,Caio Vinícius Pereira de Sá,0,0
0020638394967902,José Alexandre Fernandes Locci,0,34
0020661773922933,Islanne Ariel Marinho Ferreira Rufino,0,0
0020680990103130,Fabricio Oliveira de Araújo,0,6
0020718317917150,Antonio Robson de Oliveira Alves,0,0
0020734821625350,Valéria Matos Nunes Silva,0,0
0020789268971607,Jaqueline Vieira Nascimento,0,0
0020810059790388,Aristides Ferreira Sobrinho,0,0
0020811744213021,Humberto Magno Peixoto Goncalves,0,1
0020812482012686,Camila Brandão Fantozzi,0,0
0020825969342725,Fabrício Lima Barbosa,0,5
0020826218487006,Elisanie Oliveira Lima,0,2
0020827406705667,Maurílio Pacheco Neto,0,33
0020829098344940,Ana Laura Oliveira de Sá Leitão,0,0
0020842802325417,Tatiana Varela Vieira,0,0
0020854704969583,Ana Carolina Braga Martins,0,0
0020864045158508,Marcos Aurelio Lima Neves,0,0
0020883370686791,Silvia Helena Pini,0,0
0020895549505888,Elton Severino da Silva Dória,0,0
0020900602634686,Renata de Souza Rosa Lima,0,0
,Silvio Mauro Gallon,0,0
0020913629609766,Karina Cristina da Motta Dall'Agno,0,0
0020930300545243,Robson de Araujo da Silva,0,0
0020958972417842,Ricardo Lopes Natividade,0,0
,Paulo de Tarso Ribeiro Vilarinhos,0,0
,Mauricio Balesdent Barreira,0,0
0021006239481118,Magaly Vasques de Faria,0,9
0021011460182703,Francisco Claudio Gomes Sampaio,0,0
0021023176124571,Débora Rejane dos Santos,0,0
0021030925490467,Carlos Alberto Repelli,0,0
0021048398067352,Paula Edilene Pavanelli Feres,0,0
0021053790432479,Felipe Rafael de Oliveira,2,1
0021065285377462,Naiara de Souza Ferreira,0,0
0021071748060673,Simone Grellet Pereira,1,0
0021072830494970,Augusto César Montenegro e Silva,0,0
0021090196484237,Joeslan Rocha Lima,0,0
0021101931592459,Jorge Baptista Canavez Júnior,0,0
0021119185174925,Débora Bernardi Grandjean-Thomsen,0,0
,Walter Pereira,0,0
0021182655725644,Juan Carlos Oliveira de Medeiros,2,8
0021203653043636,Caio Felipe da Silva Santos Monczak,0,0
0021205509292342,Jenifer Rigo Almeida,0,0
0021215208683457,Felipe Lopes de Lima Salek,0,0
0021223787484952,Tainá Bulhões Oliveira Pinheiro,0,0
0021236184466285,Eduardo Agostinho Arruda Augusto,0,1
0021260896328678,Denise Apparecida de Souza,0,4
0021274103949785,Leydnayre Rodrigues Costa Kirschner,0,1
0021292382475160,Aline Neves Rodrigues Alves,0,2
0021295315157966,Artur Domingos Fonseca de Melo,0,1
,Fábio Luís de Brito,0,0
,Elson Rodolfo de Melo,0,0
,Hurzana de Mello,0,0
0021316410899909,Nelson Siqueira de Castro,0,0
,Mônica Hoeschl Abreu,0,1
0021374686850345,Daniele Santana Santos,0,0
0021400037764938,Jorge Lucas Ferreira,0,0
0021468551318822,Lavínia de Vasconcelos Xavier Coêlho Scavuzzi,0,0
0021479825326740,Thailan Teles Fraporti,1,0
0021484553407661,Jose Luis Soto Rivas,0,0
0021543654479929,Rosa Maria Buratti,0,5
0021548587426767,Rosemeire Alcantara Prado,0,0
0021572585170698,Guilherme Ravanello Suertegaray,0,0
0021582155166044,Claudia Carmem Baggio,0,6
0021590268645103,Luciane Ruis de Campos Almeida,0,0
,Marcelo Cardoso Soares,0,0
0021599076506316,Maria Aparecida de Souza Krusique,0,0
0021603005519381,Mylena Karoline Valmorbida,0,0
0021611272000198,Angela Teresa Rochetti,0,18
0021611475853867,Lúcia Helena Anastácio da Silva,3,2
0021619200126095,Isabela Thommen Maciel Sartor,0,1
0021632940166251,Marja Weschenfelder,0,0
0021634564216343,Ana Flávia Martins Monteiro,0,0
0021640642150683,Lucio Cesar Loyola,0,19
0021662157546782,Luciana Souza Lima,0,0
0021675150387054,Alexandre da Silva Barros,0,0
0021693107462449,Márcio Messias Cunha,0,0
0021694648253268,Karla Garcia Biernath,3,5
0021728526080711,Rodrigo Roratto,0,3
0021750000047774,Luciana de Araújo Caixeta,0,0
0021752233995549,Ramon Lacerda Marques,0,3
0021769911251538,Dannilo Eduardo Munhoz Ferreira,0,2
0021788573704930,Ali Reza Kheirkhah,0,0
0021807213238359,Cinthya Barbosa da Silva,0,0
0021860618860518,Mario Augusto Gouvêa de Almeida,0,0
,Gabriela Maria de Jesus Carvalho,0,0
0021881514320869,Marcelo Continelli,0,0
0021893435518973,Eliezer Victor Pereira Ramos,0,0
0021901572446780,Leonardo Sousa Diniz,0,0
0021905995062824,Cíntia Csucsuly Rocha,0,0
0021910098180344,Naila da Silva Santana Moura,0,0
0021914644282391,Louise Pereira Maia,0,0
0021917399120253,Lucia Avary de Campos,0,24
0021922505214108,Tais Jamra Tsukumo,0,0
0021931002241852,Pamela Ullio,0,0
,Geane Conceição Carvalho,0,0
0021951614164387,Karen Yukie Oura,0,0
0021990258504999,Marjorie Amy Yamada,0,0
0021998416243063,Pâmela Cristiane Gomes Ferreira,0,0
0022006956121846,Petronio Foscarini Neto,0,0
0022010726553430,Danilo Macruz Inácio,0,0
0022025658257189,Arlete Korovisk dos Santos,0,12
0022026299035280,Mayne Francieli Gonçalves,0,1
0022049921815258,Otávio Augusto Diniz Vieira,0,0
0022070745902442,Carin Guarda,0,0
0022074277183423,Cristiane Pereira,0,9
0022085310218859,Sandra Elisa Réquia Souza,4,7
0022103496465741,Cleudson Paula Passos,1,0
0022130241539785,David Carvalho de Araújo,0,3
,Joseane de Aguiar,0,0
0022167595394913,Claudio Roberto de Barros Alencar,0,0
0022170578572284,Sérgio Silva Braga de Souza,1,8
0022177192147720,Larisse Dias Pedrosa,0,11
0022198008664606,Graciele Lima Sobrinho,0,0
0022282444585448,Regina Celia Cavalieri dos Santos,0,171
0022289454167756,Leonardo Bastos da Silva,0,0
0022308015040274,Welbio Coelho Silva,0,0
0022339884487044,Rafaela Mesquita Bastos Cavalcante,0,0
0022344438315575,Wanderson Barros Costa,0,0
0022352512803696,Roberta Salazar,0,7
0022381159942475,carolina Viana Pannuti de Jaco,0,0
0022389657609517,Ariana Bahia Bitencourt,5,22
0022397565031269,Jedelener Marques de Souza,0,0
0022398126122785,Gabriela Ourivio Assmar,0,0
0022427692093493,Johny Moreira da Silva,0,0
0022440643074242,Anselmo Rangel dos Anjos,0,2
0022448642630094,Thalyta Cristine Arrais Furtado Araújo Gonçalves,0,0
0022452270146032,Renata Resende Prado,0,0
0022472145711448,Diana Brandão Maia Mendes de Sousa,0,0
0022487081346661,Rodrigo Cesar Freitas da Silva,0,0
0022503457390769,Marta Regina Figueiredo,2,35
0022522115224192,Ana Luiza Fanchini Messas,0,0
0022523101568641,Aline Kelly Pomini de Souza,0,0
0022537729031029,Welington Ataíde Gonçalves Oliveira,0,0
0022538750531359,Sandra Cristina Licerio Melchior,0,0
0022555131398370,Juliane Rosa Paulino,2,8
0022585190575443,Melina Stoian Modanesi,0,2
0022597582991120,Mariana Rodrigues Salviati,0,0
0022598713795525,Luisa Queiroz Corrêa,0,0
0022609768002152,Ilmara Sampaio Araújo,0,1
0022610066181135,Liara Laís Scheid,0,0
0022626704126925,Luís Eduardo Formentini,0,0
0022631658963694,Fernanda Galzer,0,0
0022634974619221,Gabriela Laudares Albuquerque de Oliveira,0,0
0022639384021305,Eder Julio Rocha de Almeida,0,73
0022642877709611,Nicolás Antonio Douglas Gomez,0,41
0022651522995477,Elivane da Silva Victor,0,0
0022660059806194,João Ademir Cancilier,0,0
0022670739701305,Yalkiria Guadalupe Vaca Diaz Bezerra,0,4
0022686346191316,Roberto Marques de Abreu,0,0
0022690110921351,Mateus Paulo Beck,0,0
0022704260486179,Luiz Henrique Vieira da Silva,0,0
0022717901046250,Fazal Hadi,0,0
0022734334334389,Helena Vieira Cardoso,0,0
0022753345118306,Julián Marquínez,0,0
0022760598162420,Fernando Lopes Mazzer,0,0
0022760973697288,Luana Monteiro,0,0
0022776573626382,Daniela Almeida Oliveira,0,0
0022793171337656,Ronaldo Gomes Neves,1,0
0022795304708920,Egon Ferreira Daxbacher,0,1
0022798664370349,Edilma Cotrim da Silva,0,19
0022806034472170,Aliúd José de Almeida,0,0
0022843529353774,Tatiana Santana de Souza,0,0
0022845563108099,Adsson André da Silva Gomes,0,0
0022863714117479,Valtercio de Almeida Carvalho,0,12
0022882090231326,Luciany do Socorro de Oliveira Sampaio,0,0
0022883119364551,Isacir Heleno Andreoni Junior,0,0
,Maria Heloisa Tostes Monteiro,0,0
0022891864582908,Flaviany Maria Vimieiro Pimenta Assis,0,0
0022907982499490,Anna Corina Gonçalves da Silva,0,32
0022911057790443,Larine de Paiva Mendonça,0,0
0022947399311879,Igor Prado da Silveira,0,0
0022955176937273,Karla Vila Nova de Araújo Figueiredo,0,14
0022992490521986,Arilena Covalesky Dias,0,3
0022995964659604,Vinícius Detoni Lopes,0,0
0023010302334407,Daniela Schiabel,0,1
0023012099552958,Carol Sartori Vieira,0,0
0023026659015203,Ana Paula Giamarusti Carvalho,0,0
,Alexandre Monticuco Xavier,0,0
0023048038373094,José Antonio Martins Júnior,0,61
0023081640844545,Maria da Conceição Gomes Valle,0,34
0023098296456244,Raquel Rocha Borges,0,0
0023106963925082,Lucas Breseghelo do Nascimento,0,0
0023115305494001,Fernanda Sa Dias,0,0
,Natalino Tadeu Anjula,0,1
0023147082918906,Carolina Santos Santana Ferreira,0,0
0023181124292944,Adriana Gisele Hertzog da Silva Leme,0,0
0023214219239170,Jucelly Sheila Chaves,0,0
0023217623190228,Michela Silva Holsbach,0,1
0023226303254679,Arthur Gondim Rodrigues,0,0
0023274313727256,Marina Bronstein,0,0
0023280856359847,Camila Renata da Silva Alves,0,3
0023355028727578,Elaine Cristina da Costa,0,0
0023355301434339,Neyton Carlos da Silva,0,1
0023368823507894,Marcelo Corrêa da Silva,0,2
